id,city,method,nClust,rep,cost
0,Hyderabad,IteratedWatershed,9,13,46872.68549281479
1,Hyderabad,KMeans,9,13,47932.49627325948
2,Hyderabad,KCenters,9,13,147589.31499639968
0,Hyderabad,IteratedWatershed,9,14,47362.03629086031
1,Hyderabad,KMeans,9,14,49454.675550648644
2,Hyderabad,KCenters,9,14,117068.78471999169
0,Hyderabad,IteratedWatershed,9,15,48394.74880373887
1,Hyderabad,KMeans,9,15,54893.01139502017
2,Hyderabad,KCenters,9,15,129025.01713232168
0,Hyderabad,IteratedWatershed,9,16,48257.68582752521
1,Hyderabad,KMeans,9,16,51072.64890693839
2,Hyderabad,KCenters,9,16,155914.09206638145
0,Hyderabad,IteratedWatershed,9,17,48874.79339397685
1,Hyderabad,KMeans,9,17,54893.01139502017
2,Hyderabad,KCenters,9,17,117607.66531365553
0,Hyderabad,IteratedWatershed,9,18,48348.84427098866
1,Hyderabad,KMeans,9,18,47932.49627325948
2,Hyderabad,KCenters,9,18,151513.0186105942
0,Hyderabad,IteratedWatershed,9,19,47387.322847996125
1,Hyderabad,KMeans,9,19,54893.01139502017
2,Hyderabad,KCenters,9,19,133557.19430812311
0,Hyderabad,IteratedWatershed,12,0,42361.703524300814
1,Hyderabad,KMeans,12,0,51917.35028371666
2,Hyderabad,KCenters,12,0,112448.77718455
0,Hyderabad,IteratedWatershed,12,1,43220.750865532806
1,Hyderabad,KMeans,12,1,55436.850540003325
2,Hyderabad,KCenters,12,1,128867.3716402635
0,Hyderabad,IteratedWatershed,12,2,40861.62751877797
1,Hyderabad,KMeans,12,2,52029.108398912904
2,Hyderabad,KCenters,12,2,128369.67738228488
0,Hyderabad,IteratedWatershed,12,3,40909.612113760515
1,Hyderabad,KMeans,12,3,54511.673872021536
2,Hyderabad,KCenters,12,3,120546.05471161148
0,Hyderabad,IteratedWatershed,12,4,43090.321021389296
1,Hyderabad,KMeans,12,4,51458.41948841643
2,Hyderabad,KCenters,12,4,117867.39490550243
0,Hyderabad,IteratedWatershed,12,5,43400.66146426142
1,Hyderabad,KMeans,12,5,47591.318735584835
2,Hyderabad,KCenters,12,5,143379.89337751459
0,Hyderabad,IteratedWatershed,12,6,42382.25144431128
1,Hyderabad,KMeans,12,6,53902.34727860569
2,Hyderabad,KCenters,12,6,120022.34958841318
0,Hyderabad,IteratedWatershed,12,7,43088.53902239424
1,Hyderabad,KMeans,12,7,52401.02231180719
2,Hyderabad,KCenters,12,7,116807.47250323955
0,Hyderabad,IteratedWatershed,12,8,42794.13844491698
1,Hyderabad,KMeans,12,8,57223.91761977719
2,Hyderabad,KCenters,12,8,129522.33440149188
0,Hyderabad,IteratedWatershed,12,9,42450.32573450297
1,Hyderabad,KMeans,12,9,54983.424268594725
2,Hyderabad,KCenters,12,9,107561.33314504469
0,Hyderabad,IteratedWatershed,12,10,42247.74400717699
1,Hyderabad,KMeans,12,10,54018.08169298601
2,Hyderabad,KCenters,12,10,105458.63524554193
0,Hyderabad,IteratedWatershed,12,11,43054.99791382757
1,Hyderabad,KMeans,12,11,50920.83496821857
2,Hyderabad,KCenters,12,11,110972.4615061915
0,Hyderabad,IteratedWatershed,12,12,42758.82400507445
1,Hyderabad,KMeans,12,12,51446.57177477564
2,Hyderabad,KCenters,12,12,121050.18492600831
